Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753560,25/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000222,44624,4,59,63,793.25,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753561,25/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000223,240987,20,306,324,3273.97,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753562,25/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000227,98116,18,223,239,2308.23,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753563,25/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000228,74739,13,159,172,1725.48,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753564,27/04/2020,BHIWANDI,BHIWANDI      ,KALBADEVI      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE GIRGAON,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000223,216885,50,630,674,6025.77,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753565,27/04/2020,BHIWANDI,BHIWANDI      ,KALBADEVI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE GIRGAON,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000226,92675,6,88,93,1129.35,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753566,27/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTOR THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000234,134061,23,282,307,2924.12,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753567,27/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MALTI ENTERPRISES  THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000232,80519,12,124,137,1457.04,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753568,27/04/2020,BHIWANDI,BHIWANDI      ,MULUND,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SANDEEP ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000230,68904,11,206,222,2113.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753569,27/04/2020,BHIWANDI,BHIWANDI      ,GHATKOPAR,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000229,38701,5,52,57,733.4,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753570,28/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHADEV AGENCIES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000240,644101,196,2764,2940,25008.2,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753571,28/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000242,241506,26,358,386,3771.01,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753572,28/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000239,239943,25,237,253,2703.89,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880101,04/04/2020,BHIWANDI,BHIWANDI      ,BHAYANDER,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,NAVKAR TRADERS BHAYANDER,,TBB,Cartons,,E GOOD,BHIIN0000010,79584,6,90,96,1127.17,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880102,08/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LIMITED,,TBB,Cartons,,S GOODS,BHIIN0000012,11224,3,40,40,542.45,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880103,08/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,AVENUE SUPERMARTS LIMITED...,,TBB,Cartons,,E GOOD,BHIIN000015,1133117,100,1464,1545,14826.23,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880104,08/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,J K & SONS NASHIK,,TBB,Cartons,,S GOODS,BHIIN0000016,143871,11,184,184,1959.74,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880105,08/04/2020,BHIWANDI,BHIWANDI      ,PANCHWATI,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRA ENTERPRISES, NASHIK,,TBB,Cartons,,S GOODS,BHIIN0000020,62805,11,155,155,1565.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880106,08/04/2020,BHIWANDI,BHIWANDI      ,NEW NASIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,S GOODS,BHIIN0000024,89517,16,176,176,1787.03,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880107,08/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD (SC JOHNSON),,TBB,Cartons,,S GOODS,BHIIN0000021,95969,21,157,157,1647.94,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880108,08/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD (SC JOHNSON),,TBB,Cartons,,S GOODS,BHIIN0000019,23855,3,42,42,583.71,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880109,08/04/2020,BHIWANDI,BHIWANDI      ,ROOPCHAND GALAXY,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD (SC JOHNSON),,TBB,Cartons,,S GOODS,BHIIN0000018,25638,8,98,98,1035.28,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880110,08/04/2020,BHIWANDI,BHIWANDI      ,ROOPCHAND GALAXY,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD (SC JOHNSON),,TBB,Cartons,,S GOODS,BHIIN0000017,6828,4,20,20,713.66,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880111,08/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIIN0000028,19021,6,67,67,774.04,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880112,08/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIIN0000023,2655,2,33,33,469.31,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880113,08/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP WEST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIIN0000025,33293,20,323,323,2850.59,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880114,08/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIIN0000027,41966,10,135,135,1363.93,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880115,08/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI      ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIIN0000026,75491,21,111,111,1238.98,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880116,11/04/2020,BHIWANDI,BHIWANDI      ,ULHASNAGAR 0,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PERFECT DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000075,248429,37,526,567,5232.86,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880117,11/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI  AGENCIES.,,TBB,Cartons,,S GOODS,BHIIN0004242,126491,54,845,845,7212.98,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880118,11/04/2020,BHIWANDI,BHIWANDI      ,SANGLI,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SANGLI DISTRIBUTORS,,TBB,Cartons,,S GOODS,BHIIN0000047,61403,5,84,84,994.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880119,11/04/2020,BHIWANDI,BHIWANDI      ,KOLHAPUR,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,M P MEDIVISIONS,,TBB,Cartons,,S GOODS,BHIIN0000054,301460,25,407,407,4058.92,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880120,11/04/2020,BHIWANDI,BHIWANDI      ,SOMWAR PETH KOLHAPUR,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE AGENCIES,,TBB,Cartons,,S GOODS,BHIIN0000040,65247,5,83,83,994.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880121,11/04/2020,BHIWANDI,BHIWANDI      ,AHMEDNAGAR,,,AHMEDNAGAR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,NIRMAL GENERAL STORES AHMEDNAGAR,,TBB,Cartons,,S GOODS,BHIIN0000029,70847,18,281,281,2589.69,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880122,11/04/2020,BHIWANDI,BHIWANDI      ,Ratnagiri,,,Ratnagiri.,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,OM DISTRIBUTES,,TBB,Cartons,,S GOODS,BHIIN0000048,45912,5,83,83,955.82,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880123,11/04/2020,BHIWANDI,BHIWANDI      ,AURANGABAD NAWAPURA,,,AURANGABAD,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,S S MARKETING,,TBB,Cartons,,S GOODS,BHIIN0000057,137974,10,168,168,1819.95,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880124,11/04/2020,BHIWANDI,BHIWANDI      ,AURANGABAD,,,AURANGABAD,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,OM SAI SALES CORP AURANGABAD,,TBB,Cartons,,S GOODS,BHIIN0000041,57247,5,80,80,954.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880125,11/04/2020,BHIWANDI,BHIWANDI      ,GHTKOPER,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,S GOODS,BHIIN0000074,181697,30,458,458,4227.39,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880126,11/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRA ENTERPRISES NASHIK,,TBB,Cartons,,E GOODS,BHIIN0000067,79299,9,118,129,1390.6,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880127,11/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK,,TBB,Cartons,,E GOODS,BHIIN0000069/70,19494,2,28,30,478.99,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880128,14/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK 1,,TBB,Cartons,,S GOODS,BHIIN000007/72/73,23434,9,78,78,870.87,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2880129,11/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE BALAJI DISTRIBUTORS PUN,,TBB,Cartons,,S GOODS,BHIIN0000076,1012894,106,1649,1649,15417.79,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007141,16BHD1703138,,
2880131,11/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,E GOODS,BHIIN000059,389129,34,505,536,5266.26,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880132,11/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,E GOODS,BHIIN0000077,214592,38,505,543,4973.18,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880133,13/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,E GOODS,BHIIN0000079,196924,35,193,224,2385.85,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880134,13/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,E GOODS,BHIIN0000080,15043,2,29,31,478.09,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880135,14/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,AVENUE SUPERMARTS LTD BHIWNADI,,TBB,Cartons,,E GOODS,BHIIN0000085,709197,200,1907,2150,18818.39,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880136,14/04/2020,BHIWANDI,BHIWANDI      ,MALAD EAST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,S GOODS,BHIIN0000084,153787,56,854,854,7339.57,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880137,14/04/2020,BHIWANDI,BHIWANDI      ,KANDIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE,,TBB,Cartons,,E GOODS,BHIIN0000083,177068,44,646,682,6010.14,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880138,14/04/2020,BHIWANDI,BHIWANDI      ,MUMBAI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE MAHAVEER DISTRIBUTORS MAZGAON,,TBB,Cartons,,E GOODS,BHIIN0000081,138909,44,663,707,6133.82,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880139,14/04/2020,BHIWANDI,BHIWANDI      ,MAZGAON      ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE MAHAVEER DISTRIBUTORS MAZGAON,,TBB,Cartons,,E GOODS,1,80244,38,450,450,3960.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880140,15/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTOR THANE,,TBB,Cartons,,S GOODS,BHIIN0000098,374033,41,587,627,5964.07,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
