Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2880194,18/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000143,253872,34,446,475,4507.74,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880195,18/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000141,292386,152,1993,2123,17768.77,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880196,20/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000151,332052,63,768,822,7440.1,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880197,20/04/2020,BHIWANDI,BHIWANDI      ,MALAD EAST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,E GOODS,BHIIN0000152,187955,36,496,530,4815.91,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880198,20/04/2020,BHIWANDI,BHIWANDI      ,MUMBAI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE GIRGAON,,TBB,Cartons,,E GOODS,BHIIN0000129,244171,67,938,995,8648.34,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880199,22/04/2020,BHIWANDI,BHIWANDI      ,BHAYANDER,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,NAVKAR TRADERS BHAYANDER,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000115,74805,5,76,82,1005.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880200,20/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LIMITED,,TBB,Cartons,,E GOODS,BHIIN0000127,25428,9,67,73,834.86,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880501,22/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000187,253091,54,581,623,5690.18,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880502,22/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000183,193704,35,481,514,4699.41,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880503,22/04/2020,BHIWANDI,BHIWANDI      ,GHATKOPAR,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000179,321600,35,509,537,5139.2,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880504,24/04/2020,BHIWANDI,BHIWANDI      ,ULHASNAGAR 0,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PERFECT DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000185,129457,23,296,311,2946.91,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880505,22/04/2020,BHIWANDI,BHIWANDI      ,BOISAR      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,JAI MAA KALI ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000137,80389,11,154,162,1656.78,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880506,22/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI AGENCIES GOA,,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000174,205265,17,253,272,2786.53,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880507,22/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000188,85455,10,121,131,1418.91,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880508,22/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHITS SUPPLY AND LOGISTICS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000181,147808,25,285,305,2935.62,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880509,22/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHARDA TRADING COMPANY,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000172,43013,3,46,49,678.03,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880510,22/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RATAN TRADERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000168,46753,5,70,75,893.51,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880511,22/04/2020,BHIWANDI,BHIWANDI      ,AHMEDNAGAR,,,AHMEDNAGAR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KEVAL AGENCIES AHM,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000177,83299,5,78,85,1046.6,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880512,22/04/2020,BHIWANDI,BHIWANDI      ,AHMEDNAGAR,,,AHMEDNAGAR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,NIRMAL GENRAL STORE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000184,100987,6,94,102,1217.97,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880513,22/04/2020,BHIWANDI,BHIWANDI      ,JALGAON 01,,,JALGAON,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,INDER SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN182,185168,25,263,282,2826.34,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007152,16BHD1703143,,
2880514,22/04/2020,BHIWANDI,BHIWANDI      ,YAVATMAL      ,,,NAGPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SUNDER MARKETING,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000178,33662,2,32,34,539.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880515,22/04/2020,BHIWANDI,BHIWANDI      ,AMRAVATI,,,AMRAVATI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RAJ GENRAL AGENCIES AMRAVATI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000189,102234,9,107,117,1340.47,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880516,22/04/2020,BHIWANDI,BHIWANDI      ,AURANGABAD,,,AURANGABAD,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,OM SAI SALES CORP AURANGABAD,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000169,49247,3,46,50,698.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880517,22/04/2020,BHIWANDI,BHIWANDI      ,NANDED,,,AHMEDNAGAR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DEVI AGENCIES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000173,166688,32,413,430,3973.38,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880518,22/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHADEV AGENCIES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000180,60921,50,757,804,6753.84,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880519,22/04/2020,BHIWANDI,BHIWANDI      ,WAGHOLI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000190,214983,41,294,322,3205.97,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880520,22/04/2020,BHIWANDI,BHIWANDI      ,WAGHOLI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000191,33407,8,119,127,1282.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007151,16BHD1703143,,
2880521,24/04/2020,BHIWANDI,BHIWANDI      ,dombivali,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SEFALI DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000208,97763,17,219,234,2267.53,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880522,23/04/2020,BHIWANDI,BHIWANDI      ,TALEGAON,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PRANAV ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000201,15273,3,36,39,542.55,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880523,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000203,103262,17,195,213,2110.52,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880524,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000207,117818,7,110,119,1387.64,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880525,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE BALAJI DISTRIBUTORS PUN,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000205,391608,32,453,490,4903.22,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880526,23/04/2020,BHIWANDI,BHIWANDI      ,TALEGAON,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PRANAV ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000206,50494,3,47,51,708.99,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880527,23/04/2020,BHIWANDI,BHIWANDI      ,SATARA,,,SATARA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ISHWAR AGENCY SATARA,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000202,66784,12,87,95,1093.57,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880528,23/04/2020,BHIWANDI,BHIWANDI      ,NANDED,,,AHMEDNAGAR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE SWAMI SAMARTH GENERAL AGENCY,,TBB,Cartons,,ELECTRONIC GOODS,BHIN000193,166598,10,10,10,1033.2,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880529,23/04/2020,BHIWANDI,BHIWANDI      ,YAVATMAL      ,,,NAGPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SUNDER MARKETING,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000194,33662,2,32,34,539.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880530,23/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000200,16233,6,48,51,640.47,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880531,23/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000209,226979,29,284,303,3077.96,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880532,23/04/2020,BHIWANDI,BHIWANDI      ,PANVEL,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE KRISHNA TRADERS PANVEL,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000129,41900,6,87,91,1011.8,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880533,23/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI      ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE MAHAVEER DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000204,191688,15,220,236,2471.38,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880534,23/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA LTD MUMBAI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000195,4631,1,13,14,709.26,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880535,23/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA LTD MUMBAI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000198,19451,2,28,30,478.9,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880536,23/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA LTD MUMBAI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000196,25832,3,39,43,595.66,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880537,23/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA LTD MUMBAI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000192,686372,70,959,1030,9812.74,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880538,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000211,138903,12,182,199,2069.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880539,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000212,34862,5,58,63,773.72,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007153,16BHD1703144,,
2880540,23/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHITS SUPPLY AND LOGISTICS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000210,697852,432,5804,6203,51219.7,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2880541,23/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000214,706492,75,1008,1084,10284.98,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2880542,23/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA LTD MUMBAI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000215,74377,12,163,175,1748.75,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2902153,21/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000165,60290,11,99,109,1192.58,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902154,20/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHIT S SUPPLY AND LOGISTICS PUNE,,TBB,Cartons,,E GOODS,BHIIN0000158,163164,122,1734,1601,13334.33,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
