Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2902155,21/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000166,18905,4,44,46,605.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902156,20/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RATAN TRADERS PUNE,,TBB,Cartons,,E GOODS,BHIIN0000148,40208,30,455,483,4144.42,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902157,20/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,E GOODS,BHIIN0000150,40208,30,455,483,4144.42,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902158,20/04/2020,BHIWANDI,BHIWANDI      ,AKOLA      ,,,AKOLA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N V MARKETING AKOLA,,TBB,Cartons,,E GOODS,BHIIN0000160,123429,8,122,132,1502.86,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902159,20/04/2020,BHIWANDI,BHIWANDI      ,KOLHAPUR      ,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE AGENCIES,,TBB,Cartons,,E GOODS,BHIIN0000157,40208,4,48,53,704.42,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902160,20/04/2020,BHIWANDI,BHIWANDI      ,JALGAON 01,,,JALGAON,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHESH ENTERPRISES JALGAON,,TBB,Cartons,,E GOODS,BHIIN0000091,244560,38,535,573,5273.12,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902161,20/04/2020,BHIWANDI,BHIWANDI      ,YAVATMAL      ,,,NAGPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SUNDER MARKETING,,TBB,Cartons,,E GOODS,BHIIN0000149,62753,44,574,622,5301.51,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902162,20/04/2020,BHIWANDI,BHIWANDI      ,JALNA      ,,,AURANGABAD,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ARIHANT DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000130,62403,10,130,136,1412.81,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902163,20/04/2020,BHIWANDI,BHIWANDI      ,NAGPUR,,,NAGPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,AMANI SALES CORPORATION,,TBB,Cartons,,E GOODS,BHIIN0000147,80661,64,830,891,7489.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902164,20/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI AGENCIES GOA,,,TBB,Cartons,,E GOODS,BHIIN0000153,194187,64,664,626,5596.37,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902165,20/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI AGENCIES GOA,,,TBB,Cartons,,E GOODS,BHIIN0000156,17246,13,197,209,1906.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007150,16BHD1703142,,
2902166,21/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000135,85754,22,210,237,2267.51,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902167,21/04/2020,BHIWANDI,BHIWANDI      ,bhiwandi,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000134,92051,10,155,167,1720.1,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902168,02/04/2020,BHIWANDI,BHIWANDI      ,ROOPCHAND GALAXY,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD (SC JOHNSON),,TBB,Cartons,,S GOODS,BHIIN0000003/05/06/07/08/09,148950,29,262,262,2593.9,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902204,29/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MALTI ENTERPRISES  THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000245,74805,5,76,82,1005.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902205,29/04/2020,BHIWANDI,BHIWANDI      ,PANVEL,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,CHANDRA AGENCY PANVEL,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000260,78250,21,207,225,2156.5,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902206,29/04/2020,BHIWANDI,BHIWANDI      ,VASHI STATION,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,JALARAM & SONS VASHI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000255,55481,6,93,101,1118.96,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902207,29/04/2020,BHIWANDI,BHIWANDI      ,PANVEL,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE KRISHNA TRADERS PANVEL,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000254,18305,2,31,34,508.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902208,29/04/2020,BHIWANDI,BHIWANDI      ,dombivali,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SEFALI DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000241,30961,4,42,46,629.92,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902209,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000197,38645,6,84,89,989.29,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902210,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000259,10182,2,24,26,428.36,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902211,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SWAMI ENTERPRISES NSK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000253,33258,1,6,20,766.52,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902212,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRA ENTERPRISES NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000246,23609,9,125,131,1295.22,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902213,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRA ENTERPRISES NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000186,82705,13,176,186,1853.41,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902214,29/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,J K & SONS NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000252,17791,4,43,48,619.58,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902215,29/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI AGENCIES GOA,,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000231,57178,30,428,463,4018.36,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902216,29/04/2020,BHIWANDI,BHIWANDI      ,GOA,,,GOA,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PADMAVATI AGENCIES GOA,,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000257,65673,47,682,733,6195.35,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902217,29/04/2020,BHIWANDI,BHIWANDI      ,AURANGABAD,,,AURANGABAD,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,OM SAI SALES CORP AURANGABAD,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000258,15584,4,46,51,639.17,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902218,29/04/2020,BHIWANDI,BHIWANDI      ,KOLHAPUR,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE AGENCIES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000225,33247,10,53,64,778.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902219,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRAKSH DISTRIBUTOR PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000256,41039,9,123,132,1338.08,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902220,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRAKSH DISTRIBUTOR PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000235,99458,25,353,376,3406.92,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902221,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRAKSH DISTRIBUTOR PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000226,107546,23,237,256,2463.09,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902222,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RUDRAKSH DISTRIBUTOR PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000237,29922,2,31,33,523.84,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902223,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RATAN TRADERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000261,75494,16,218,233,2214.99,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902224,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHESH SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000213,368716,65,874,933,8401.43,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902225,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHESH SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000250,42784,16,227,243,2229.57,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902226,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHESH SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000249,4488,3,40,45,568.98,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902227,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHESH SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000224,10722,8,122,129,1253.44,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902228,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000238,74805,5,76,82,1005.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902229,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHITS SUPPLY AND LOGISTICS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000247,286807,61,778,832,7429.61,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902230,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000248,68786,15,152,167,1673.57,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902231,29/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000251,8352,2,30,32,472.7,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007156,16BHD1703147,,
2902232,30/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000270,94255,31,411,440,3908.51,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902233,30/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHADEV AGENCIES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000274,159292,71,1072,1138,9622.58,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902234,30/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000262,187861,65,900,961,8263.72,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902235,30/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000263,55481,3,44,47,686.96,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902236,30/04/2020,BHIWANDI,BHIWANDI      ,MULUND,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SANDEEP ENTERPRISES 1,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000266,11117,8,119,121,1190.23,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902238,30/04/2020,BHIWANDI,BHIWANDI      ,GHATKOPAR,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000265,70258,25,367,389,3452.52,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902239,30/04/2020,BHIWANDI,BHIWANDI      ,NAGPUR,,,NAGPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,AMANI SALES CORPORATION,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000268,94640,43,594,594,5141.28,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007157,16BHD1703148,,
2902240,30/04/2020,BHIWANDI,BHIWANDI      ,KOLHAPUR,,,KOLHAPUR,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SURAJ ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000273,64963,31,399,426,3737.93,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007157,16BHD1703148,,
2902241,30/04/2020,BHIWANDI,BHIWANDI      ,PANVEL,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,CHANDRA AGENCY PANVEL,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000272,21668,6,63,68,787.34,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902242,30/04/2020,BHIWANDI,BHIWANDI      ,PANVEL,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE KRISHNA TRADERS PANVEL,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000269,7692,3,43,46,583.38,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902243,30/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRENT HYPERMARKET PVT LTD BWD,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000264,55693,9,95,103,1135.39,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2902244,30/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHITS SUPPLY AND LOGISTICS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000267,622055,121,1665,1787,15740.11,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007157,16BHD1703148,,
